year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,8
1971,0,0
1972,0,0
1973,0,0
1974,0,5
1975,0,0
1976,7,6
1977,0,7
1978,0,0
1979,8,0
1980,0,0
1981,5,0
1982,0,0
1983,0,0
1984,0,6
1985,0,0
1986,6,0
1987,5,6
1988,0,0
1989,6,0
1990,8,5
1991,8,12
1992,6,8
1993,13,6
1994,6,5
1995,6,0
1996,8,0
1997,9,0
1998,7,0
1999,0,0
2000,10,5
2001,22,9
2002,12,8
2003,9,0
2004,11,6
2005,12,0
2006,8,0
2007,5,0
2008,0,6
2009,0,0
2010,6,0
2011,5,0
2012,0,0
2013,0,0
2014,0,6
2015,0,0
2016,0,5
2017,0,0
2018,0,0
2019,0,5
