year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,0
1914,0,7
1915,0,0
1916,0,5
1917,0,7
1918,0,12
1919,0,8
1920,0,10
1921,0,9
1922,0,10
1923,0,9
1924,0,8
1925,0,6
1926,0,13
1927,0,10
1928,0,10
1929,0,0
1930,0,9
1931,0,0
1932,0,9
1933,0,7
1934,0,9
1935,0,6
1936,0,0
1937,0,11
1938,0,9
1939,0,7
1940,0,8
1941,0,0
1942,0,6
1943,0,7
1944,0,5
1945,0,6
1946,0,7
1947,0,6
1948,0,7
1949,0,7
1950,0,5
1951,0,7
1952,0,13
1953,0,8
1954,0,0
1955,0,0
1956,0,6
1957,0,0
1958,0,11
1959,0,6
1960,0,5
1961,0,5
1962,0,8
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,6
1968,0,0
1969,0,10
1970,0,6
1971,0,0
1972,0,0
1973,0,0
1974,0,5
1975,0,6
1976,0,6
1977,0,0
1978,0,0
1979,0,0
1980,0,8
1981,0,0
1982,0,0
1983,0,8
1984,0,0
1985,0,5
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,5
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,5
1999,0,5
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,7
2010,0,0
2011,0,0
2012,0,0
2013,0,5
2014,0,0
2015,0,5
2016,0,6
2017,0,0
2018,0,6
2019,0,0
