year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,5
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,6
1969,0,0
1970,0,6
1971,0,10
1972,0,403
1973,5,411
1974,7,416
1975,8,309
1976,0,293
1977,0,232
1978,0,222
1979,0,191
1980,0,168
1981,0,122
1982,0,95
1983,5,96
1984,0,67
1985,0,81
1986,0,80
1987,0,57
1988,0,77
1989,0,88
1990,0,84
1991,0,87
1992,0,107
1993,0,105
1994,0,101
1995,0,88
1996,0,110
1997,0,108
1998,0,105
1999,0,116
2000,0,122
2001,0,106
2002,0,81
2003,0,85
2004,0,82
2005,0,70
2006,0,79
2007,0,76
2008,0,71
2009,0,67
2010,0,56
2011,0,52
2012,0,49
2013,0,48
2014,0,32
2015,0,47
2016,0,50
2017,0,34
2018,0,36
2019,0,39
