year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,5,0
1974,6,0
1975,7,0
1976,0,0
1977,21,0
1978,13,0
1979,31,0
1980,26,0
1981,46,0
1982,37,0
1983,48,0
1984,39,0
1985,61,0
1986,76,0
1987,110,0
1988,162,0
1989,199,0
1990,232,0
1991,349,0
1992,426,0
1993,542,0
1994,655,0
1995,849,0
1996,899,0
1997,945,0
1998,983,0
1999,1002,0
2000,973,0
2001,823,0
2002,572,0
2003,634,0
2004,549,0
2005,566,0
2006,527,0
2007,472,0
2008,497,0
2009,484,0
2010,402,0
2011,385,0
2012,337,0
2013,277,0
2014,249,0
2015,199,0
2016,175,0
2017,156,0
2018,129,0
2019,121,0
