year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,6,0
1922,5,0
1923,0,0
1924,0,0
1925,10,0
1926,0,0
1927,8,0
1928,6,0
1929,14,0
1930,12,0
1931,6,0
1932,8,0
1933,7,0
1934,11,0
1935,17,0
1936,9,0
1937,6,0
1938,17,0
1939,7,0
1940,14,0
1941,13,0
1942,17,0
1943,12,0
1944,10,0
1945,15,0
1946,18,0
1947,21,0
1948,12,0
1949,16,0
1950,18,0
1951,17,0
1952,23,0
1953,13,0
1954,17,0
1955,27,0
1956,38,0
1957,39,0
1958,47,0
1959,33,0
1960,38,0
1961,26,0
1962,31,0
1963,33,0
1964,30,0
1965,24,0
1966,24,0
1967,19,0
1968,12,0
1969,8,0
1970,16,0
1971,8,0
1972,15,0
1973,6,0
1974,5,0
1975,8,0
1976,0,0
1977,0,0
1978,7,0
1979,5,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
