year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,9
1960,0,0
1961,0,7
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,7
1971,0,6
1972,0,8
1973,0,7
1974,0,18
1975,0,24
1976,0,23
1977,0,17
1978,0,38
1979,0,41
1980,0,31
1981,0,42
1982,0,36
1983,0,93
1984,6,71
1985,0,80
1986,0,92
1987,6,92
1988,6,108
1989,5,117
1990,5,129
1991,0,150
1992,9,201
1993,7,190
1994,6,167
1995,6,152
1996,6,159
1997,5,141
1998,0,209
1999,0,175
2000,6,194
2001,5,237
2002,0,224
2003,0,233
2004,6,216
2005,7,202
2006,0,210
2007,8,395
2008,5,691
2009,0,629
2010,0,548
2011,0,540
2012,0,501
2013,5,569
2014,0,468
2015,0,394
2016,5,332
2017,0,299
2018,0,264
2019,0,251
