year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,43,0
1972,45,0
1973,40,0
1974,57,0
1975,53,0
1976,50,0
1977,66,0
1978,73,0
1979,69,0
1980,86,0
1981,87,0
1982,74,0
1983,85,0
1984,87,0
1985,87,0
1986,101,0
1987,187,0
1988,148,0
1989,167,6
1990,195,0
1991,175,0
1992,184,0
1993,180,0
1994,153,0
1995,160,0
1996,161,0
1997,134,0
1998,123,0
1999,136,0
2000,119,0
2001,116,0
2002,130,0
2003,123,0
2004,119,0
2005,110,0
2006,83,0
2007,102,0
2008,114,0
2009,71,0
2010,64,0
2011,51,0
2012,42,0
2013,36,0
2014,41,0
2015,33,0
2016,31,0
2017,25,0
2018,17,0
2019,23,0
