year,Girls,Boys
1880,0,5
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,6
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,8
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,6
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,6
1906,0,5
1907,0,0
1908,0,0
1909,0,0
1910,0,7
1911,0,0
1912,0,5
1913,0,14
1914,0,14
1915,0,15
1916,0,14
1917,0,12
1918,0,19
1919,0,13
1920,0,17
1921,0,15
1922,0,19
1923,0,26
1924,0,14
1925,0,20
1926,0,14
1927,0,12
1928,0,14
1929,0,7
1930,0,7
1931,0,9
1932,0,10
1933,0,10
1934,0,11
1935,0,18
1936,0,9
1937,0,13
1938,0,9
1939,0,8
1940,0,10
1941,0,6
1942,0,9
1943,0,6
1944,0,14
1945,0,13
1946,0,7
1947,0,10
1948,0,8
1949,0,6
1950,0,5
1951,0,15
1952,0,12
1953,0,8
1954,0,12
1955,0,0
1956,0,6
1957,0,9
1958,0,8
1959,0,6
1960,0,11
1961,0,10
1962,0,0
1963,0,6
1964,0,5
1965,0,0
1966,0,6
1967,0,9
1968,0,10
1969,0,6
1970,0,0
1971,0,0
1972,0,0
1973,0,6
1974,0,0
1975,0,5
1976,0,0
1977,0,6
1978,0,0
1979,0,5
1980,0,6
1981,0,0
1982,0,0
1983,0,5
1984,0,5
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,10
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,5
1998,0,0
1999,0,7
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,5
2006,0,6
2007,0,8
2008,0,0
2009,0,5
2010,0,0
2011,0,0
2012,0,9
2013,0,8
2014,0,6
2015,0,5
2016,0,9
2017,0,11
2018,0,7
2019,0,0
