year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,7
1968,0,10
1969,0,8
1970,0,15
1971,6,18
1972,0,30
1973,0,22
1974,6,29
1975,0,40
1976,0,30
1977,0,39
1978,0,59
1979,0,70
1980,5,73
1981,0,50
1982,0,56
1983,0,67
1984,0,62
1985,0,74
1986,0,76
1987,0,98
1988,0,79
1989,0,124
1990,5,101
1991,0,118
1992,0,130
1993,0,127
1994,0,94
1995,6,108
1996,0,105
1997,0,90
1998,0,105
1999,0,87
2000,0,92
2001,0,114
2002,0,94
2003,0,80
2004,0,85
2005,0,98
2006,0,131
2007,0,106
2008,0,89
2009,0,96
2010,0,82
2011,0,70
2012,0,72
2013,0,52
2014,0,53
2015,0,51
2016,0,44
2017,0,57
2018,0,48
2019,0,60
