year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,10,0
1973,25,0
1974,47,0
1975,30,0
1976,44,0
1977,56,0
1978,70,5
1979,62,0
1980,96,0
1981,107,0
1982,118,0
1983,117,0
1984,150,0
1985,163,0
1986,134,0
1987,179,0
1988,174,0
1989,186,0
1990,217,0
1991,373,0
1992,421,0
1993,427,0
1994,398,0
1995,378,0
1996,383,0
1997,355,0
1998,370,0
1999,344,0
2000,336,0
2001,323,0
2002,297,0
2003,303,0
2004,341,0
2005,329,0
2006,249,0
2007,262,0
2008,342,0
2009,290,0
2010,288,0
2011,256,0
2012,218,0
2013,253,0
2014,177,0
2015,177,0
2016,176,0
2017,151,0
2018,118,0
2019,102,0
