year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,5,0
1941,0,0
1942,7,0
1943,8,0
1944,6,0
1945,8,0
1946,15,0
1947,17,0
1948,16,0
1949,22,0
1950,18,0
1951,23,0
1952,34,0
1953,35,0
1954,39,0
1955,43,0
1956,67,0
1957,63,0
1958,90,0
1959,121,0
1960,142,0
1961,196,0
1962,247,0
1963,268,0
1964,298,0
1965,358,0
1966,405,0
1967,512,0
1968,455,0
1969,471,5
1970,451,0
1971,386,0
1972,386,0
1973,317,0
1974,227,0
1975,185,0
1976,143,0
1977,123,0
1978,95,0
1979,101,0
1980,74,0
1981,68,0
1982,65,0
1983,41,0
1984,39,0
1985,38,0
1986,22,0
1987,36,0
1988,28,0
1989,24,0
1990,24,0
1991,15,0
1992,24,0
1993,10,0
1994,14,0
1995,9,0
1996,6,0
1997,7,0
1998,7,0
1999,8,0
2000,10,0
2001,0,0
2002,11,0
2003,0,0
2004,0,0
2005,6,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
