year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,6,0
1946,5,0
1947,11,0
1948,7,0
1949,11,0
1950,7,0
1951,13,0
1952,8,0
1953,14,0
1954,9,0
1955,16,0
1956,11,0
1957,20,0
1958,11,0
1959,15,0
1960,20,0
1961,22,0
1962,16,0
1963,17,0
1964,14,0
1965,17,0
1966,20,0
1967,18,0
1968,20,0
1969,21,0
1970,18,0
1971,27,0
1972,15,0
1973,16,0
1974,12,0
1975,17,0
1976,20,0
1977,23,0
1978,9,0
1979,27,0
1980,18,0
1981,18,0
1982,18,0
1983,18,0
1984,27,0
1985,14,0
1986,22,0
1987,23,0
1988,14,0
1989,19,0
1990,18,0
1991,25,0
1992,12,0
1993,17,0
1994,20,0
1995,13,0
1996,27,0
1997,17,0
1998,20,0
1999,18,0
2000,17,0
2001,19,0
2002,14,0
2003,15,0
2004,15,0
2005,8,0
2006,12,0
2007,20,0
2008,15,0
2009,15,0
2010,10,0
2011,13,0
2012,15,0
2013,18,0
2014,9,0
2015,17,0
2016,9,0
2017,9,0
2018,8,0
2019,7,0
