year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,5
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,5,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,5,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,6,0
1969,0,0
1970,5,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,12,0
1977,0,0
1978,0,0
1979,0,0
1980,12,0
1981,0,0
1982,0,0
1983,0,0
1984,15,0
1985,10,0
1986,16,0
1987,16,0
1988,25,0
1989,17,0
1990,19,0
1991,14,0
1992,20,0
1993,16,0
1994,44,0
1995,344,12
1996,425,19
1997,377,22
1998,360,31
1999,333,26
2000,285,29
2001,280,23
2002,328,46
2003,389,39
2004,371,52
2005,404,64
2006,447,153
2007,555,207
2008,737,216
2009,779,238
2010,805,265
2011,975,246
2012,1082,265
2013,1167,275
2014,1219,255
2015,1114,248
2016,1135,215
2017,1065,222
2018,1011,224
2019,857,190
