year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,5,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,9,0
1939,6,0
1940,8,0
1941,0,0
1942,6,0
1943,6,0
1944,0,0
1945,6,0
1946,0,0
1947,0,0
1948,6,0
1949,7,0
1950,11,0
1951,9,0
1952,0,0
1953,10,0
1954,6,0
1955,7,0
1956,9,0
1957,6,0
1958,8,0
1959,9,0
1960,8,0
1961,7,0
1962,7,0
1963,11,0
1964,11,0
1965,24,0
1966,21,0
1967,11,0
1968,13,0
1969,8,0
1970,8,0
1971,8,0
1972,10,0
1973,7,0
1974,9,0
1975,13,0
1976,9,0
1977,6,0
1978,11,0
1979,0,0
1980,6,0
1981,9,0
1982,8,0
1983,0,0
1984,5,0
1985,5,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,6,0
2002,12,0
2003,16,0
2004,12,0
2005,22,0
2006,32,0
2007,30,0
2008,26,0
2009,23,0
2010,35,0
2011,26,0
2012,41,0
2013,26,0
2014,33,0
2015,30,0
2016,21,0
2017,19,0
2018,23,0
2019,24,0
