year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5,0
1914,15,0
1915,18,0
1916,16,0
1917,19,0
1918,14,0
1919,9,0
1920,13,0
1921,22,0
1922,17,0
1923,12,0
1924,17,0
1925,15,0
1926,9,0
1927,17,0
1928,12,0
1929,11,0
1930,10,0
1931,15,0
1932,7,0
1933,9,0
1934,9,0
1935,13,0
1936,10,0
1937,23,0
1938,13,0
1939,6,0
1940,9,0
1941,7,0
1942,8,0
1943,8,0
1944,11,0
1945,10,0
1946,5,0
1947,7,0
1948,10,0
1949,9,0
1950,0,0
1951,6,0
1952,11,0
1953,10,0
1954,9,0
1955,5,0
1956,0,0
1957,8,0
1958,7,0
1959,5,0
1960,0,0
1961,9,0
1962,0,0
1963,6,0
1964,6,0
1965,8,0
1966,0,0
1967,9,0
1968,6,0
1969,0,0
1970,5,0
1971,0,0
1972,12,0
1973,0,0
1974,8,0
1975,0,0
1976,5,0
1977,5,0
1978,6,0
1979,7,0
1980,5,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,5,0
1987,6,0
1988,5,0
1989,0,0
1990,6,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,5,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
