year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,7
1920,0,0
1921,5,0
1922,0,8
1923,0,6
1924,0,9
1925,0,0
1926,0,6
1927,0,5
1928,0,6
1929,6,0
1930,0,5
1931,0,7
1932,0,9
1933,0,7
1934,0,10
1935,0,11
1936,0,8
1937,0,15
1938,0,14
1939,0,8
1940,5,10
1941,0,6
1942,0,6
1943,0,12
1944,0,6
1945,0,0
1946,0,13
1947,0,5
1948,0,10
1949,0,10
1950,0,10
1951,0,14
1952,0,11
1953,0,6
1954,0,17
1955,0,7
1956,0,20
1957,0,13
1958,5,11
1959,0,12
1960,0,11
1961,0,8
1962,0,11
1963,0,6
1964,0,14
1965,0,9
1966,0,5
1967,0,0
1968,0,0
1969,0,5
1970,0,6
1971,0,6
1972,0,0
1973,0,0
1974,0,5
1975,0,6
1976,0,8
1977,0,8
1978,0,7
1979,0,9
1980,0,6
1981,0,9
1982,0,7
1983,0,0
1984,0,9
1985,0,0
1986,0,0
1987,0,9
1988,0,0
1989,0,5
1990,0,5
1991,0,0
1992,0,5
1993,0,8
1994,0,0
1995,0,6
1996,0,8
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
