year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,0,0
1914,6,0
1915,7,0
1916,16,0
1917,17,0
1918,12,0
1919,10,0
1920,6,0
1921,13,0
1922,6,0
1923,11,0
1924,10,0
1925,0,0
1926,10,0
1927,8,0
1928,5,0
1929,0,0
1930,8,0
1931,7,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,8,0
1937,0,0
1938,0,0
1939,0,0
1940,6,0
1941,6,0
1942,16,0
1943,12,0
1944,5,0
1945,8,0
1946,11,0
1947,15,0
1948,7,0
1949,12,0
1950,16,0
1951,17,0
1952,25,0
1953,16,0
1954,8,0
1955,8,0
1956,8,0
1957,5,0
1958,7,0
1959,6,0
1960,13,0
1961,6,0
1962,9,0
1963,8,0
1964,8,0
1965,0,0
1966,6,0
1967,9,0
1968,0,0
1969,5,0
1970,6,0
1971,7,0
1972,5,0
1973,5,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,5,0
1983,0,0
1984,7,0
1985,0,0
1986,0,0
1987,0,0
1988,6,0
1989,0,0
1990,5,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,6,0
1997,0,0
1998,6,0
1999,5,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,5,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
