year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,5
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,9
1920,0,0
1921,0,5
1922,0,0
1923,0,10
1924,0,8
1925,0,0
1926,0,0
1927,0,9
1928,0,10
1929,0,8
1930,0,8
1931,0,12
1932,0,16
1933,0,8
1934,0,16
1935,0,14
1936,0,12
1937,0,19
1938,0,19
1939,0,31
1940,0,18
1941,0,17
1942,0,18
1943,0,19
1944,0,32
1945,0,12
1946,0,13
1947,0,23
1948,0,24
1949,0,23
1950,0,17
1951,0,20
1952,0,16
1953,0,14
1954,0,16
1955,0,19
1956,0,19
1957,0,27
1958,0,30
1959,0,45
1960,0,42
1961,0,43
1962,0,31
1963,0,28
1964,0,28
1965,0,22
1966,0,18
1967,0,17
1968,0,19
1969,0,13
1970,0,11
1971,0,13
1972,0,15
1973,0,19
1974,0,18
1975,0,18
1976,0,6
1977,0,7
1978,0,5
1979,0,8
1980,0,8
1981,0,9
1982,0,10
1983,0,9
1984,0,0
1985,0,6
1986,0,7
1987,0,6
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,5
1995,0,5
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,7
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
