year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,5
1967,0,8
1968,0,0
1969,0,7
1970,0,9
1971,0,7
1972,0,14
1973,0,13
1974,0,14
1975,0,9
1976,0,11
1977,0,14
1978,0,16
1979,0,14
1980,0,18
1981,0,22
1982,0,18
1983,0,16
1984,0,18
1985,0,15
1986,0,18
1987,0,13
1988,0,15
1989,0,16
1990,0,19
1991,0,17
1992,0,21
1993,0,21
1994,0,26
1995,0,26
1996,0,21
1997,0,28
1998,0,29
1999,0,28
2000,0,21
2001,0,18
2002,0,29
2003,0,24
2004,0,28
2005,0,27
2006,0,27
2007,0,35
2008,0,26
2009,0,31
2010,0,17
2011,0,27
2012,0,19
2013,0,27
2014,0,14
2015,0,14
2016,0,18
2017,0,17
2018,0,8
2019,0,8
